rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,gross_tertiary_education_enrollment,population,unemployment_rate,urban_population,created_at
810,Atlantic Records,13900000,12513842343.0,Music,Atlantic Records,1660,United States,US,Music,307.0,161.0,97284000.0,24300.0,389100.0,291900.0,4700000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2006-12-15
727,Auron,14600000,3337074920.0,People & Blogs,Auron,961,Spain,ES,Games,2455.0,14.0,60568000.0,15100.0,242300.0,181700.0,2900000.0,230173.87770723453,28.1,47076781.0,13.96,37927409.0,2013-12-12
178,AuronPlay,29200000,4079141673.0,Comedy,AuronPlay,404,Spain,ES,Comedy,1852.0,3.0,12143000.0,3000.0,48600.0,36400.0,582900.0,477355.12624293694,28.1,47076781.0,13.96,37927409.0,2006-02-28
394,AuthenticGames,20100000,8920141342.0,Gaming,AuthenticGames,4974,Brazil,BR,Games,549.0,20.0,5420000.0,1400.0,21700.0,16300.0,260200.0,342201.37944019714,88.2,212559417.0,12.08,183241641.0,2011-10-07
372,Avicii,20600000,10292874715.0,Music,Avicii,156,Sweden,SE,Music,421.0,1.0,81236000.0,20300.0,324900.0,243700.0,3900000.0,353266.75219021994,28.1,10285453.0,6.48,9021165.0,2009-10-28
988,Avril Lavigne,12400000,6202090191.0,Music,Avril Lavigne,205,United States,US,Music,999.0,176.0,50188000.0,12500.0,200800.0,150600.0,2400000.0,191875.86486369657,88.2,328239523.0,14.7,270663028.0,2005-10-08
843,Awakening Music,13500000,5545936485.0,Music,Awakening Music,814,United Kingdom,GB,Music,1183.0,30.0,35309000.0,8800.0,141200.0,105900.0,1700000.0,100000.0,88.2,66834405.0,3.85,55908316.0,2006-12-25
347,Azhan5star,21300000,10047736580.0,Entertainment,Azhan5star,669,India,IN,Entertainment,436.0,67.0,236293000.0,59100.0,945200.0,708900.0,11300000.0,600000.0,94.3,1366417754.0,5.36,471031528.0,2021-02-02
874,AzzyLand,13300000,6412313570.0,Gaming,AzzyLand,1749,Canada,CA,Entertainment,949.0,12.0,5387000.0,1300.0,21500.0,16200.0,258600.0,100000.0,88.2,36991981.0,5.56,30628482.0,2015-05-08
18,BANGTANTV,75600000,20826993957.0,Music,BANGTANTV,2281,South Korea,KR,Music,112.0,2.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,400000.0,51.3,51709098.0,4.15,42106719.0,2012-12-17
214,BB Ki Vines,26300000,4749833967.0,Entertainment,BB Ki Vines,190,India,IN,Entertainment,1462.0,51.0,17264000.0,4300.0,69100.0,51800.0,828600.0,447617.5657133545,94.3,1366417754.0,5.36,471031528.0,2015-06-20
837,BBC,13600000,9685060624.0,Pets & Animals,BBC,16047,United Kingdom,GB,Entertainment,474.0,29.0,44414000.0,11100.0,177700.0,133200.0,2100000.0,100000.0,88.2,66834405.0,3.85,55908316.0,2005-11-12
742,BBC News,14500000,4598387043.0,News & Politics,BBC News,18972,United Kingdom,GB,News,1548.0,26.0,66273000.0,16600.0,265100.0,198800.0,3200000.0,100000.0,88.2,66834405.0,3.85,55908316.0,2006-04-08
564,BBC News Hindi,16500000,7043235131.0,News & Politics,BBC News Hindi,21243,India,IN,News,821.0,92.0,131202000.0,32800.0,524800.0,393600.0,6300000.0,300000.0,94.3,1366417754.0,5.36,471031528.0,2009-09-22
672,BIGBANG,15100000,7857371770.0,Music,BIGBANG,776,South Korea,KR,Music,680.0,13.0,40806000.0,10200.0,163200.0,122400.0,2000000.0,246333.6812134946,51.3,51709098.0,4.15,42106719.0,2005-10-10
14,BLACKPINK,89800000,32144597566.0,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32.0,1.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,700000.0,51.3,51709098.0,4.15,42106719.0,2016-06-29
839,BUDI01 GAMING,13500000,1181292450.0,Gaming,BUDI01 GAMING,319,Indonesia,ID,Games,9540.0,29.0,13436000.0,3400.0,53700.0,40300.0,644900.0,206231.5891453606,28.1,270203917.0,4.69,151509724.0,2019-07-19
384,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552.0,Education,BabyBus - Cerita & Lagu Anak-anak,875,Indonesia,ID,Education,332.0,10.0,112768000.0,28200.0,451100.0,338300.0,5400000.0,100000.0,28.1,270203917.0,4.69,151509724.0,2019-01-14
131,BabyBus - Kids Songs and Cartoons,32800000,26355088167.0,Education,BabyBus - Kids Songs and Cartoons,2122,United States,US,Education,64.0,39.0,127498000.0,31900.0,510000.0,382500.0,6100000.0,200000.0,88.2,328239523.0,14.7,270663028.0,2016-07-15
